status,path,stock_size,stock_sha256,candidate_size,candidate_sha256
changed,AndroidManifest.xml,45188,C6D022592D989531004284C05CAF3CEAEB0F97926D037E8A3B8E88D5920BAFAB,45188,D6CFF97147223D6C1C1C849B5F588C1199D9BA8F24807AF4A29A3737C103CD90
added,META-INF/ANDROIDD.RSA,,,1328,C1BB493E02AF6CD2A6E8FB90CC02D4F98CC837172E9F62341B10F8F169D9ABC1
added,META-INF/ANDROIDD.SF,,,403034,E72CD65BBA56BDBE9516ACAA48959F1BF537AB01C9352A11835808981418FB4E
deleted,META-INF/CERT.RSA,1650,2C637E5C348E0537970EBE4F11737676AEC74D8872E074B5A6822037AF7C29AD,,
deleted,META-INF/CERT.SF,402563,1312D3EE209E646FB086CDF42141431C6C30E34F4AAFEACCBC5BDC053D73E852,,
changed,META-INF/MANIFEST.MF,402490,0A189B61A768B42E985D0AD5902312211FE76E6683E0E62B92CB6E6829E56B91,402907,98D4654E1DC4129514BE7F1C9946BCCB7FA42690BA1336FBD6FADAB864E2EEB3
changed,classes.dex,9317908,E32879B2108894B16E505F264F296281054D84BB448745B5CDF8E5A79CC634D9,9297016,8E33B2F70D6664697D62721893F793AB96E421EE0A6FF3A514AA7A914BE342B1
changed,classes2.dex,2781884,C4D2568857C460272CA93A6634CAB95311866EE8FA433521A7E321B07C202C4E,2787008,8A0CE11D0342B4729F63F86F14A8D7493999F7ADA3FC81A21A8C2191B8340DB4
added,classes3.dex,,,5836,E612D20FAFC8CC1355701E2A79B49A2B641B00EF39C9D6C1FF65022BF389C765
added,lib/arm64-v8a/liblgcamera_surface_usage.so,,,3872,6C10BF25D9CFE3C719851D0F2951F02F06B2A47BE90E0A498509E2B9826CA5D1
added,lib/arm64-v8a/libmpbase.so,,,5184,FEF89522243E79D3627AF6B393C9E23AC5C0F1E792FD6A169FD4AB19C6053AA5
changed,res/layout/mode_menu_with_usp.xml,3136,ACB241BB65BC47028A4B407B6DAB6D9BCCDA2C4FC15C57E1CEEFBFC0A717A398,3136,9997CD3B5AA1586628E0B031C3B43A3DA36642230F844B8EF6C4D12397C797B4
changed,res/layout/setting_fragment_item_view.xml,2224,3D363F4737DC7D08A9FF1460CE0C91D8E3B7A2D0CAB40286C7D4145C6CF3AAD9,2224,E3F754C8B8CCAFC8C9198116BC3A32DF14BC38BDDD36051DA738D9D1AF61408A
changed,res/layout/setting_fragment_view.xml,3160,9035FDAACD8E5D17A1E697C0F5ECF989C61652AFF561658C34ADBADA1DB3F910,3160,EE81AA91332AA2E83C70CBD1E71B98C2119C9290A17DAA5DF0D2CED03EFEC6C5
changed,res/layout/setting_help_item_view.xml,1448,B330E3D384C3C21CD9AB446003934AF6AC3E01524B4C6B2922E22B808B716BC5,1448,E28475CEAFA17846C2AA0B7C36AF103C1A76F1ECDFDFB7A7828B368B56F3989A
changed,res/layout/setting_help_layout.xml,2876,B539D1D7528D085F2C0DCAEB8210E37D8F3C700EF1653E4DA35057BEFE4395F1,2876,A3A8FAF6798D9132B72313EA15F4AB4B641EAF8AFEBC1A8A40D2F7B775ED9000
changed,res/layout/setting_parent_item_view.xml,2356,5F223ACF448E37C854893790445EE8E1F4466415D1868076674D7CD4C642B556,2356,51A02F34E287E4786B69023C4824F1CC1315F6E1F496B35AA9F10059CCE66171
changed,res/layout/setting_toggle_select_view.xml,4168,C3AA2C9A8E85D38DA6481EB28C1DDCE0C6E9C3ED410083E7AA7DF0CE871E9AB3,4168,9ACF2AEAAFF028EC87F191FAA9FC1AE6E4F6C91ABFAAB15439BAAE1A95F64128
changed,res/layout/setting_view.xml,3048,AC5378985EB4999F9A63873398CD4A5AC3FA11CC1656AA33D05393024AA55DFD,3048,3D6425FBD45E2B1B62814132A8170B2DEAF4EC8459B472E4F050C90F9F2FC490
changed,res/layout/simple_item_view.xml,1996,9681BAF9F03B84212062B7646A67B7341151B660ED027671BD70C97DF7BBF6C4,1996,6ED60C39359268F0FAF90BE04FADE355D0487E8ECAD6C16BB22972794AF34243
changed,res/layout/sticker_view.xml,5804,E0890D7F6CB8B64516C691FE467E995DDCF96131593373FF3BDC1E108F4B5E6F,5804,E10E8E201C406834E0FEDEE4AF0CFB89F79419851666311D23A1A4589A7C135D
changed,res/layout/swipe_help_layout.xml,6024,28344EBDDC04134F2B47359D390C7C14ABDE4E603B113D3DDE37BBA4557FAE46,6024,101D679E1C1606CB85830BF967CF80B7B777CCAB7A9853B1E4CF481F606C90E7
changed,res/layout/swivel_zoom_layout.xml,900,441B1BB8B5EA8966F6D906D6E8C7E0CF8A1419977B336146716A565C5BF9104B,900,60D9369E8AF7C74D02AD17E8F39D2326C1719B1E804DE4BF96C993624B310B94
changed,res/xml/preference_supported_config_mh2lm.xml,18152,011D03BD6B35AD0D14A3D203D6BB935C3DE306496CC795C20E755371475F4CAB,18152,1B2A9BA9F2362B191EE90C153D66EA5C1327F9CA9B3F667F8C9FF6DB2343D52E
changed,resources.arsc,8655640,FBC4C7F5807F46B951B3DD5013C31B2F74C8373D9BE64CE4C3BE97F2D034E68B,8655640,408251B64D1FD274D6A806995A0FBDE89844EACD23AFB9389ED90F72A6FBCCA3
